Age,F,M
10.0,0,1
11.0,12,1
12.0,32,7
13.0,151,36
14.0,744,93
15.0,1911,292
16.0,3024,828
17.0,3462,1914
18.0,4136,4016
19.0,4427,7216
20.0,4831,10427
21.0,5511,13653
22.0,5416,15398
23.0,5447,16428
24.0,5715,25479
25.0,4950,14757
26.0,4293,13382
27.0,3971,12054
28.0,3344,10699
29.0,2838,8625
30.0,2314,7174
31.0,1780,5779
32.0,1420,4826
33.0,1064,3736
34.0,856,3129
35.0,602,2531
36.0,469,2034
37.0,345,1608
38.0,262,1350
39.0,186,1219
40.0,156,1054
41.0,125,828
42.0,117,749
43.0,91,702
44.0,67,616
45.0,54,530
46.0,57,372
47.0,43,365
48.0,31,376
49.0,46,316
50.0,30,248
51.0,16,183
52.0,29,215
53.0,25,175
54.0,14,148
55.0,10,94
56.0,9,122
57.0,3,66
58.0,9,75
59.0,3,84
60.0,4,84
61.0,4,64
62.0,5,57
63.0,10,46
64.0,0,30
65.0,6,78
66.0,3,28
67.0,1,24
68.0,7,18
69.0,16,44
70.0,10,18
71.0,0,33
72.0,3,21
73.0,1,7
74.0,4,8
75.0,0,4
76.0,0,7
77.0,0,2
80.0,0,3
81.0,0,2
84.0,0,1
88.0,0,3
96.0,0,1
97.0,0,1
